,src_sent,pred_sent,reference_nbv,reference_nlth,reference_naa,reference_nvi,bleu_score
628,"""Portanto, vos quero fazer compreender que ninguém que fala pelo Espírito de Deus diz: Jesus é anátema! E ninguém pode dizer que Jesus é o Senhor, senão pelo Espírito Santo.""
","""Por isso, eu lhes quero fazer compreender que ninguém que procede pelo Espírito de Deus diz: Jesus é anátema! E ninguém pode dizer que Jesus é o Senhor, senão o Espírito Santo.""
","""Agora, porém, vocês estão encontrando pessoas que alegam que transmitem mensagens da parte do Espírito de Deus. Como é que vocês podem saber se elas são realmente inspiradas por Deus ou não? Eis o critério: Ninguém, falando pelo poder do Espírito de Deus, pode amaldiçoar Jesus, e ninguém pode dizer “Jesus é Senhor” a não ser que seja pelo Espírito Santo.""
","""Por isso precisam compreender que ninguém que diz “Que Jesus seja maldito!” pode estar falando pelo poder do Espírito de Deus. E que ninguém pode dizer “Jesus é Senhor”, a não ser que seja guiado pelo Espírito Santo.""
","""Por isso, quero que entendam que ninguém que fala pelo Espírito de Deus afirma: “Anátema, Jesus!” Por outro lado, ninguém pode dizer: “Senhor Jesus!”, senão pelo Espírito Santo.""
","""Por isso, eu afirmo que ninguém que fala pelo Espírito de Deus diz: “Jesus seja amaldiçoado”; e ninguém pode dizer: “Jesus é Senhor”, a não ser pelo Espírito Santo.""
",39.87294609944326
629,"""Qualquer que aborrece a seu irmão é homicida. E vós sabeis que nenhum homicida tem permanente nele a vida eterna.""
","""Aquele que odeia a seu irmão é homicida. E vocês sabem que nenhum homicida tem permanente a vida eterna.""
","""Qualquer um que odeia seu irmão em Cristo já é, na realidade, um assassino; e vocês sabem que nenhum assassino tem a vida eterna dentro de si.""
","""Quem odeia o seu irmão é assassino, e vocês sabem que nenhum assassino tem em si a vida eterna.""
","""Todo aquele que odeia o seu irmão é assassino, e vocês sabem que todo assassino não tem a vida eterna permanente em si.""
","""Quem odeia seu irmão é assassino, e vocês sabem que nenhum assassino tem a vida eterna em si mesmo.""
",34.64020111658723
630,"""Clama alto com a tua voz, ó filha de Galim! Ouve, ó Laís! Ó tu, pobre Anatote!""
","""Clama alto com a sua voz, ó filha de Galim! <unk> tu, pobre pobre Anatote!""
","""Grite bem alto, povo de Galim. Avisem os habitantes de Laís. Ah, pobre cidade de Anatote!""
","""Gritem, moradores de Galim! Escute os gritos, gente de Laís! Responda, povo de Anatote!""
","""Grite bem alto, ó filha de Galim! Escute, ó Laís! Pobre Anatote!""
","""Clamem, ó habitantes de Galim! Escute, ó Laís! Pobre Anatote!""
",29.270571215593964
631,"""e folgo, por amor de vós, de que eu lá não estivesse, para que acrediteis. Mas vamos ter com ele.""
","""e <unk> por amor de vocês, de que eu lá não estivesse, para que <unk> Mas vamos falar com ele.""
","""E por causa de vocês, alegro-me de que eu não estivesse lá, porque isso vai ser mais uma oportunidade para que vocês creiam. Venham, vamos até ele”.""
","""mas eu estou alegre por não ter estado lá com ele, pois assim vocês vão crer. Vamos até a casa dele.""
","""Por causa de vocês me alegro de que não estivesse lá, para que vocês possam crer. Mas vamos até ele.""
","""e para o bem de vocês estou contente por não ter estado lá, para que vocês creiam. Mas vamos até ele”.""
",11.531660492243489
632,"""o qual intentou também profanar o templo; e, por isso, o prendemos e, conforme a nossa lei, o quisemos julgar.""
","""o qual foi qual também ele fez também profanar o templo e o <unk> e, segundo a nossa lei, o <unk>
","""Além disso, ele estava tentando profanar o templo quando foi preso. “Queríamos julgá-lo de acordo com a nossa lei,""
","""Além disso tentou profanar o Templo, e então nós o prendemos. Nós íamos julgá-lo de acordo com a nossa Lei,""
","""o qual também tentou profanar o templo, nós o prendemos com o intuito de julgá-lo segundo a nossa Lei.""
","""e tentou até mesmo profanar o templo; então o prendemos e quisemos julgá-lo segundo a nossa lei.""
",24.287915292875518
633,"""Respondeu, porém, Aquis e disse a Davi: Bem o sei; e que, na verdade, aos meus olhos és bom como um anjo de Deus; porém disseram os príncipes dos filisteus: Não suba este conosco à batalha.""
","""Respondeu, Aquis e disse a Davi: — Você é um bom bom como um anjo de Deus. Mas os líderes dos filisteus disseram a um anjo de Deus. Eles responderam: — Não vá para a batalha.""
","""Mas Aquis insistiu: “Quanto a mim, você é tão perfeito como um anjo de Deus. Porém, os meus comandantes não querem ter você na companhia deles na batalha.""
","""Aquis respondeu: — Eu sei disso e o considero tão fiel quanto um anjo de Deus. Mas os comandantes disseram que você não pode ir lutar conosco.""
","""Aquis respondeu: — Eu sei que aos meus olhos você é bom como um anjo de Deus. Mas os comandantes dos filisteus disseram: “Ele não deve ir conosco à batalha.”""
","""Aquis respondeu: “Reconheço que você tem feito o que eu aprovo, como um anjo de Deus. Os comandantes filisteus, no entanto, dizem que você não deve ir à batalha conosco.""
",26.816279199776723
634,"""Será, pois, que, culpado sendo numa destas coisas, confessará aquilo em que pecou.""
","""Se alguém culpado é numa destas coisas, confessará o que pecou.""
","""“Em qualquer desses casos citados, a pessoa terá de confessar a culpa""
","""Portanto, quando alguém for culpado de qualquer uma dessas coisas, deverá confessar o seu pecado""
","""Quem for culpado numa destas coisas, confessará aquilo em que pecou.""
","""“Quando alguém for culpado de qualquer dessas coisas, confessará em que pecou""
",45.180100180492246
635,"""O enfermo respondeu-lhe: Senhor, não tenho homem algum que, quando a água é agitada, me coloque no tanque; mas, enquanto eu vou, desce outro antes de mim.""
","""Mas o enfermo respondeu: — Senhor, não tenho homem que, quando a água é agitada, no tanque; mas eu me coloque desce desce antes de mim.""
","""“Eu não posso, Senhor”, respondeu o paralítico, “porque não tenho ninguém para me ajudar a entrar no tanque depois do movimento da água. Quando tento chegar lá, sempre entra um outro antes de mim”.""
","""Ele respondeu: — Senhor, eu não tenho ninguém para me pôr no tanque quando a água se mexe. Cada vez que eu tento entrar, outro doente entra antes de mim.""
","""O enfermo respondeu: — Senhor, não tenho ninguém que me ponha no tanque, quando a água é agitada. Quando tento entrar, outro enfermo chega antes de mim.""
","""Disse o paralítico: “Senhor, não tenho ninguém que me ajude a entrar no tanque quando a água é agitada. Enquanto estou tentando entrar, outro chega antes de mim”.""
",46.72394564954935
636,"""os quais vieram a Balaão e lhe disseram: Assim diz Balaque, filho de Zipor: Rogo-te que não te demores em vir a mim,""
","""os quais vieram a Balaão e lhe disseram: — Assim diz Balaque, filho de Zipor: disse a Balaão que não te <unk>
","""Eles foram a Balaão e lhe disseram: “Assim diz Balaque, filho de Zipor: ‘Peço que venha logo até aqui,""
","""Eles foram falar com Balaão e disseram: — Eu, Balaque, filho de Zipor, peço-lhe que venha logo até aqui!""
","""Eles chegaram a Balaão e lhe disseram: — Assim diz Balaque, filho de Zipor: Peço-lhe que não se demore em vir até aqui,""
","""Eles foram a Balaão e lhe disseram: “Assim diz Balaque, filho de Zipor: ‘Que nada o impeça de vir a mim,""
",54.844562516180176
637,"""De sorte que os que são da fé são benditos com o crente Abraão.""
","""De fato, os que são da fé são benditos com o crente Abraão.""
","""E assim acontece: Todos aqueles que são da fé participam da mesma bênção que Abraão, homem de fé, recebeu.""
","""Abraão creu e foi abençoado; portanto, todos os que creem são abençoados como ele foi.""
","""De modo que os que têm fé são abençoados com o crente Abraão.""
","""Assim, os que são da fé são abençoados com Abraão, homem de fé.""
",66.75075987129311
638,"""E sucedeu que, contando ele ao rei como vivificara a um morto, eis que a mulher cujo filho vivificara clamou ao rei pela sua casa e pelas suas terras; então, disse Geazi: Ó rei, meu senhor, esta é a mulher, e este o seu filho, a quem Eliseu vivificou.""
","""E contando ao rei como um morto, a um morto, eis que a mulher cujo filho vivificara clamou ao rei pela sua casa e pelas suas terras; então disse ao rei pela sua casa e pelas suas terras; então disse a quem Eliseu vivificou.""
","""Enquanto Geazi contava ao rei a respeito da ocasião em que Eliseu tinha ressuscitado um menino, a própria mãe do menino entrou para apresentar ao rei o seu pedido de devolução da sua casa e da sua propriedade. “Esta é a mulher, ó rei, meu senhor!”, exclamou Geazi, “e este é o filho dela, a quem Eliseu ressuscitou!”""
","""Geazi estava contando ao rei como Eliseu havia feito um morto viver de novo. Nesse momento a mulher chegou para fazer o seu pedido ao rei. Então Geazi disse: — Ó rei, aqui está a mulher, e aqui está o filho dela que Eliseu ressuscitou.""
","""Ele estava contando ao rei como Eliseu havia restaurado à vida um morto, quando a mulher cujo filho ele havia restaurado à vida chegou para reclamar a sua casa e as suas terras. Então Geazi disse: — Ó rei, meu senhor, esta é a mulher, e este é o filho dela, a quem Eliseu restaurou à vida.""
","""Enquanto Geazi contava ao rei como Eliseu havia ressuscitado o menino, a própria mãe chegou para apresentar sua petição ao rei a fim de readquirir sua casa e sua propriedade. Geazi exclamou: “Esta é a mulher, ó rei, meu senhor, e este é o filho dela, a quem Eliseu ressuscitou”.""
",17.736866507981333
639,"""E disse-me: Olha, não faças tal, porque eu sou conservo teu e de teus irmãos, os profetas, e dos que guardam as palavras deste livro. Adora a Deus.""
","""Então me disse: — Não faça nenhum que o senhor tem e os seus irmãos, os profetas, e os profetas, dos que guardam as palavras deste livro. Que Deus.""
","""porém ele me disse outra vez: “Não, não faça isso! Eu também sou servo como você e seus irmãos, os profetas, bem como todos aqueles que atendem à verdade declarada neste livro. Adore a Deus”.""
","""Mas ele me disse: — Não faça isso! Pois eu sou servo de Deus, assim como são você e os seus irmãos, os profetas, e todas as pessoas que obedecem às palavras deste livro. Adore a Deus!""
","""Mas ele me disse: — Não faça isso! Sou um servo de Deus, assim como são você e os seus irmãos, os profetas, e como são os que guardam as palavras deste livro. Adore a Deus!""
","""Mas ele me disse: “Não faça isso! Sou servo como você e seus irmãos, os profetas, e como os que guardam as palavras deste livro. Adore a Deus!”""
",52.06550006394192
640,"""Aos seus jovens, consumiu-os o fogo, e as suas donzelas não tiveram festa nupcial.""
","""Aos seus jovens, consumiu-os o fogo, e as suas donzelas não tiveram festa nupcial.""
","""Os jovens israelitas morreram queimados, e as moças não tiveram canções de núpcias.""
","""Os jovens foram mortos na guerra, e as moças não tinham com quem casar.""
","""O fogo devorou os jovens deles, e as suas donzelas não tiveram canto nupcial.""
","""O fogo consumiu os seus jovens, e as suas moças não tiveram canções de núpcias;""
",45.307778036928106
641,"""Se Satanás se levantar contra si mesmo, e for dividido, não pode subsistir; antes, tem fim.""
","""Se Satanás se levantar contra si mesmo, e for dividido, não pode <unk>
","""E se Satanás está lutando contra si mesmo, como pode ele realizar qualquer coisa? Ele não subsistiria.""
","""Se o reino de Satanás se dividir em grupos, e esses grupos lutarem entre si, o reino não continuará a existir, mas será destruído.""
","""Se Satanás se levantou contra si mesmo e está dividido, não pode subsistir; é o seu fim.""
","""E, se Satanás se opuser a si mesmo e estiver dividido, não poderá subsistir; chegou o seu fim.""
",33.83069442665999
642,"""Quanto ao mais, irmãos, tudo o que é verdadeiro, tudo o que é honesto, tudo o que é justo, tudo o que é puro, tudo o que é amável, tudo o que é de boa fama, se há alguma virtude, e se há algum louvor, nisso pensai.""
","""Quanto ao mais, irmãos, tudo o que é verdadeiro, tudo o que é justo, tudo o que é justo, tudo o que é justo, tudo o que é justo, tudo o que é justo, tudo o que é justo, tudo o que é de boa fama, e se há algum louvor, nisso se há algum <unk>
","""E agora, irmãos, ao terminar esta carta, quero dizer-lhes mais uma coisa. Firmem seus pensamentos naquilo que é verdadeiro, nobre e direito. Pensem em coisas que sejam puras e agradáveis e detenham-se nas coisas excelentes. Pensem em todas as coisas pelas quais vocês possam louvar a Deus.""
","""Por último, meus irmãos, encham a mente de vocês com tudo o que é bom e merece elogios, isto é, tudo o que é verdadeiro, digno, correto, puro, agradável e decente.""
","""Finalmente, irmãos, tudo o que é verdadeiro, tudo o que é respeitável, tudo o que é justo, tudo o que é puro, tudo o que é amável, tudo o que é de boa fama, se alguma virtude há e se algum louvor existe, seja isso o que ocupe o pensamento de vocês.""
","""Finalmente, irmãos, tudo o que for verdadeiro, tudo o que for nobre, tudo o que for correto, tudo o que for puro, tudo o que for amável, tudo o que for de boa fama, se houver algo de excelente ou digno de louvor, pensem nessas coisas.""
",51.19521630913457
643,"""Disseram mais: A herança dos que ficaram de resto é de Benjamim, e nenhuma tribo de Israel deve ser destruída.""
","""Disseram mais: “A herança dos que ficaram de resto é de Benjamim, e nenhuma tribo de Israel deve ser <unk>
","""Temos de arranjar uma maneira de resolver isso, para evitar que uma tribo inteira desapareça para sempre!""
","""O povo de Israel não deve perder uma das suas doze tribos. Temos de achar um jeito de a tribo de Benjamim não acabar.""
","""Disseram mais: — Deve haver uma herança para os benjamitas que sobraram, pois nenhuma tribo de Israel deve ser destruída.""
","""Os benjamitas sobreviventes precisam ter herdeiros, para que uma tribo de Israel não seja destruída.""
",32.663896563920986
644,"""e, como era do mesmo ofício, ficou com eles, e trabalhava; pois tinham por ofício fazer tendas.""
","""e, como era do mesmo ofício, ficou com eles, e trabalhava; pois tinham por ofício fazer tendas.""
","""e morou e trabalhou com eles, pois eram fabricantes de tendas, como ele.""
","""e acabou ficando ali para trabalhar com eles, porque a profissão de Paulo e a deles era a mesma, isto é, fazer barracas.""
","""E, como tinham o mesmo ofício, passou a morar com eles e ali trabalhava. O ofício deles era fazer tendas.""
","""e, uma vez que tinham a mesma profissão, ficou morando e trabalhando com eles, pois eram fabricantes de tendas.""
",24.883108274644027
645,"""E eis, agora, vêm um bando de homens e cavaleiros aos pares. Então, respondeu e disse: Caída é Babilônia, caída é! E todas as imagens de escultura dos seus deuses se quebraram contra a terra.""
","""Mas eis, um bando de homens e cavaleiros aos <unk> Então disse: — Caída é a Babilônia, <unk> E todas as imagens de escultura dos seus deuses se quebraram contra a terra.""
","""Agora, atenção! Lá vêm eles! Os cavaleiros que andam em fila de dois!” Depois o vigia disse: “Ela caiu! A Babilônia caiu! Todas as imagens dos falsos deuses da Babilônia estão quebradas, espalhadas pelo chão”.""
","""Atenção! Aí vêm cavaleiros, em fila de dois!” Depois o vigia disse: “Ela caiu! Babilônia caiu! Todas as imagens que os babilônios adoravam estão despedaçadas no chão!”""
","""Eis que agora vem uma tropa de homens, cavaleiros de dois a dois.” Então ele ergueu a voz e disse: “Caiu! Babilônia caiu! Todas as imagens de escultura dos seus deuses jazem despedaçadas no chão!”""
","""Veja! Ali vem um homem num carro com uma parelha de cavalos, e ele diz: ‘Caiu! A Babilônia caiu! Todas as imagens dos seus deuses estão despedaçadas no chão!’ ”""
",19.813474893046656
646,"""E reuniram-se em volta dele os fariseus e alguns dos escribas que tinham vindo de Jerusalém.""
","""Os fariseus e os escribas e alguns dos mestres da lei que tinham vindo de Jerusalém.""
","""Certo dia alguns fariseus e mestres da lei chegaram de Jerusalém e se reuniram ao redor de Jesus,""
","""Alguns fariseus e alguns mestres da Lei que tinham vindo de Jerusalém reuniram-se em volta de Jesus.""
","""Os fariseus e alguns escribas, vindos de Jerusalém, reuniram-se em volta de Jesus.""
","""Os fariseus e alguns dos mestres da lei, vindos de Jerusalém, reuniram-se a Jesus e""
",60.70908003717138
647,"""Não haverá mais nela criança de poucos dias, nem velho que não cumpra os seus dias; porque o jovem morrerá de cem anos, mas o pecador de cem anos será amaldiçoado.""
","""Não haverá poucos dias, nem velho que não cumpra os seus dias, porque o jovem morrerá de cem anos, mas o pecador morrerá de cem anos será <unk>
","""“Não haverá mais crianças que vivam poucos dias! Os homens viverão muitos e muitos anos. Aos cem anos uma pessoa ainda será considerada jovem, e somente os pecadores morrerão com essa idade!""
","""Nunca mais morrerão ali criancinhas de poucos dias; ninguém morrerá antes de ficar bem velho. Morrer aos cem anos será morrer moço, e não chegar aos cem anos será uma maldição.""
","""Não haverá mais nela criança que viva somente alguns dias, nem velho que não complete os seus dias. Porque morrer aos cem anos será morrer ainda jovem, e quem pecar só aos cem anos será amaldiçoado.”""
","""“Nunca mais haverá nela uma criança que viva poucos dias, e um idoso que não complete os seus anos de idade; quem morrer aos cem anos ainda será jovem, e quem não chegar aos cem será maldito.""
",25.94324959254036
648,"""Ter respeito à aparência de pessoas não é bom, porque até por um bocado de pão o homem prevaricará.""
","""Ter à aparência de pessoas não é bom, porque até por um pedaço de pão o <unk>
","""Fazer acepção de pessoas é um erro grave; pois até por um pedaço de pão o homem se dispõe a fazer o mal.""
","""É errado favorecer alguém no tribunal, mas alguns juízes fazem isso até por pouco dinheiro.""
","""Parcialidade não é bom, porque uma pessoa é capaz de transgredir até por um bocado de pão.""
","""Agir com parcialidade não é bom; Pois até por um pedaço de pão o homem se dispõe a fazer o mal.""
",48.45766087853282
649,"""Fiz juízo e justiça; não me entregues aos meus opressores.""
","""Fiz justiça e justiça; não me entregues aos meus opressores.""
","""Tenho seguido as suas decisões e praticado a sua justiça. Não me deixe cair nas mãos dos meus inimigos.""
","""Tenho feito o que é certo e bom; não me entregues nas mãos dos meus inimigos.""
","""Tenho praticado juízo e justiça; não me entregues aos meus opressores.""
","""Tenho vivido com justiça e retidão; não me abandones nas mãos dos meus opressores.""
",73.84043435398218
650,"""E vós sois os que tendes permanecido comigo nas minhas tentações.""
","""Vocês são os que têm permanecido nas minhas tentações.""
","""Contudo, por vocês terem continuado fiéis a mim durante as minhas provações,""
","""— Vocês têm estado sempre comigo nos meus sofrimentos.""
","""Vocês são os que têm permanecido comigo nas minhas tentações.""
","""Vocês são os que têm permanecido ao meu lado durante as minhas provações.""
",83.4452289722301
651,"""E eis que um homem da multidão clamou, dizendo, Mestre, peço-te que olhes para meu filho, porque é o único que eu tenho.""
","""E eis que um homem da multidão clamou, clamou, Mestre, peço-te que olhes para meu filho, porque é o único que eu tenho.""
","""e um homem da multidão gritou: “Mestre, este menino aqui é o meu único filho,""
","""Aí um homem que estava no meio do povo começou a gritar: — Mestre, peço ao senhor pelo meu filho, o meu único filho!""
","""E eis que, do meio da multidão, surgiu um homem, dizendo em alta voz: — Mestre, peço que o senhor olhe o meu filho, porque é o único que tenho.""
","""Um homem da multidão bradou: “Mestre, rogo-te que dês atenção ao meu filho, pois é o único que tenho.""
",46.04635160027441
652,"""Assim, repousou o povo no sétimo dia.""
","""Assim, o povo descansou no sétimo dia.""
","""Então o povo aprendeu a descansar no sétimo dia.""
","""Assim, o povo não trabalhou no sétimo dia.""
","""Assim, o povo descansou no sétimo dia.""
","""Então o povo descansou no sétimo dia.""
",100.00000000000004
653,"""Porém ele lhe disse: Porventura, não foi contigo o meu coração, quando aquele homem voltou de sobre o seu carro, a encontrar-te? Era isso ocasião para tomares prata e para tomares vestes, e olivais, e vinhas, e ovelhas, e bois, e servos, e servas?""
","""Porém Jesus lhe disse: — Você não foi o meu coração, quando aquele homem voltou para o seu coração, quando aquele homem voltou para o seu estômago quando aquele homem voltou para o seu carro, e a encontrar-te? prata e ovelhas, olivais, e servas?""
","""Mas Eliseu continuou: “Geazi, você não percebe que em espírito estive com você quando Naamã desceu do carro e foi ao seu encontro? Eu sei de tudo o que você fez. Este não era o momento de aceitar prata nem roupas, nem plantações de oliveiras e de uvas, ovelhas, gado, servos e servas.""
","""Mas Eliseu disse: — O meu espírito estava com você quando aquele homem desceu do carro para falar com você. Esta não era ocasião para você aceitar dinheiro e roupas, plantações de oliveiras e de uvas, ovelhas e gado ou empregados e empregadas.""
","""Porém Eliseu disse: — Você acha que eu não estava com você em espírito quando aquele homem voltou da sua carruagem, para encontrar-se com você? Será que esta era a ocasião para você aceitar prata e aceitar roupas, olivais e vinhas, ovelhas e bois, servos e servas?""
","""Mas Eliseu lhe disse: “Você acha que eu não estava com você em espírito quando o homem desceu da carruagem para encontrar-se com você? Este não era o momento de aceitar prata nem roupas, nem de cobiçar olivais, vinhas, ovelhas, bois, servos e servas.""
",19.66040574203662
654,"""Mas, se o viver na carne me der fruto da minha obra, não sei, então, o que deva escolher.""
","""Mas, se o viver na carne me der fruto da minha obra, não sei, então o que deva escolher.""
","""Mas se viver me der mais oportunidade para ganhar pessoas para Cristo, então na realidade não sei o que é melhor — viver ou morrer!""
","""Mas, se eu continuar vivendo, poderei ainda fazer algum trabalho útil. Então não sei o que devo escolher.""
","""Entretanto, se eu continuar vivendo, poderei ainda fazer algum trabalho frutífero. Assim, não sei o que devo escolher.""
","""Caso continue vivendo no corpo , terei fruto do meu trabalho. E já não sei o que escolher!""
",22.36804131666175
655,"""Porém vós dizeis: Se um homem disser ao pai ou à mãe: Aquilo que poderias aproveitar de mim é Corbã, isto é, oferta ao Senhor,""
","""Mas vocês dizem: “Se um homem disser ao pai ou à mãe: — Aquilo que você pensa que você pode <unk>
","""Mas vocês afirmam que está perfeitamente certo que um homem despreze seus pais necessitados, dizendo-lhes: ‘Eu não posso ajudar vocês! Porque o que podia dar é uma oferta a Deus’.""
","""Mas vocês ensinam que, se alguém tem alguma coisa que poderia usar para ajudar os seus pais, mas diz: “Eu dediquei isto a Deus”,""
","""Vocês, porém, dizem que, se alguém disser ao seu pai ou à sua mãe: “A ajuda que você poderia receber de mim é Corbã, isto é, oferta ao Senhor”,""
","""Mas vocês afirmam que, se alguém disser a seu pai ou a sua mãe: ‘Qualquer ajuda que vocês poderiam receber de mim é Corbã’, isto é, uma oferta dedicada a Deus,""
",7.880111217937311
656,"""A nudez da mulher de teu irmão não descobrirás; é a nudez de teu irmão.""
","""Não tenha relações sexuais com a mulher do seu irmão de seu irmão.""
","""“Também não tenha relações sexuais com a mulher do seu irmão; isso desonraria seu irmão.""
","""Não tenha relações com a sua cunhada; isso seria uma vergonha para o seu irmão.""
","""Não tenha relações com a mulher de seu irmão; este é um direito que somente o seu irmão tem.""
","""“Não se envolva sexualmente com a mulher do seu irmão; isso desonraria seu irmão.""
",73.9217679569622
657,"""E um homem limpo tomará hissopo, e o molhará naquela água, e a espargirá sobre aquela tenda, e sobre todo fato, e sobre as almas que ali estiverem, como também sobre aquele que tocar os ossos, ou a algum que foi morto, ou que faleceu, ou uma sepultura.""
","""E um homem ficará grávida e o molhará naquela água, o molhará naquela água e a aspergirá sobre aquela tenda, sobre as almas que tocar os ossos, ou sobre aquele que tocar os ossos, ou a algum que foi morto, ou uma sepultura.""
","""Então um homem cerimonialmente puro pegará o hissopo e o colocará na água e borrifará essa água sobre aquela tenda, sobre todos os utensílios da tenda e sobre as pessoas que estiverem dentro da tenda. Borrifará também essa água sobre a pessoa que tiver tocado num osso humano, ou em alguém que tenha sido morto, ou em alguém que tenha sofrido morte natural, ou num túmulo.""
","""No caso de alguém ter tocado num defunto, um homem que esteja puro pegará um galho de hissopo, molhará naquela água e com ela borrifará a barraca e todas as coisas e pessoas que estiverem ali dentro. Se alguém tiver tocado em osso de gente ou numa sepultura, deverá ser borrifado com a água da purificação por uma pessoa que esteja pura.""
","""Um homem puro pegará hissopo, molhará naquela água e a aspergirá sobre aquela tenda, sobre todo utensílio e sobre as pessoas que ali estiverem. Também a aspergirá sobre quem tocar nos ossos, em alguém que foi morto ou que morreu, ou numa sepultura.""
","""Então um homem cerimonialmente puro pegará hissopo, molhará na água e a aspergirá sobre a tenda, sobre todos os utensílios e sobre todas as pessoas que estavam ali. Também a aspergirá sobre todo aquele que tiver tocado num osso humano, ou num túmulo, ou em alguém que tenha sido morto ou que tenha sofrido morte natural.""
",34.83536702666323
658,"""eis que tirarei os descendentes de Baasa e os descendentes da sua casa e farei à tua casa como à casa de Jeroboão, filho de Nebate.""
","""Por isso, farei com que os descendentes de Baasa e os filhos de Baasa e os filhos de Jeroboão, filho de Nebate.""
","""Por isso, agora estou prestes a destruir você e sua família, da mesma maneira que fiz com Jeroboão, filho de Nebate, e seus filhos.""
","""e por isso vou acabar com você e com a sua família, como fiz com Jeroboão.""
","""Por isso, Baasa, vou exterminar você e os seus descendentes e vou fazer com a sua casa o que fiz com a casa de Jeroboão, filho de Nebate.""
","""Por isso estou na iminência de destruir Baasa e a sua família, fazendo a ela o que fiz à de Jeroboão, filho de Nebate.""
",38.2268394271749
659,"""O Deus, pois, que fez habitar ali o seu nome derribe a todos os reis e povos que estenderem a sua mão para o mudarem e para destruírem esta Casa de Deus, que está em Jerusalém. Eu, Dario, dei o decreto; apressuradamente se execute.""
","""O Deus, que fez habitar ali o seu nome e a todos os reis e povos que estenderem a sua mão para o mudarem e para destruírem esta Casa de Deus, que está em Jerusalém. Eu dei o decreto;
","""O Deus que escolheu a cidade para a sua habitação destruirá qualquer rei e qualquer nação que altere este decreto e destrua este templo de Jerusalém. “Eu, Dario, expedi este decreto. Que ele seja obedecido com toda a diligência”.""
","""Que Deus, que escolheu Jerusalém como o lugar onde deve ser adorado, acabe com qualquer rei ou nação que desobedecer a esta ordem e tentar destruir o Templo de Jerusalém! Eu, Dario, dei esta ordem. Que ela seja obedecida em tudo.”""
","""Que o Deus que fez habitar ali o seu nome derrube todos os reis e povos que estenderem a mão para alterar o decreto e para destruir esta Casa de Deus, que está em Jerusalém. Eu, Dario, baixei o decreto; que se execute com toda a diligência.”""
","""E que Deus, que fez o seu nome ali habitar, derrube qualquer rei ou povo que estender a mão para mudar este decreto ou para destruir esse templo de Jerusalém. “Eu, Dario, o decretei. Que seja plenamente executado”.""
",60.082381016121744
660,"""E Coz gerou a Anube e a Zobeba; e as famílias de Aarel, filho de Harum.""
","""E Coz gerou Anube a Zobeba; e as famílias de Aarel,
","""e Coz, que foi o pai de Anube e Zobeba e os grupos de famílias de Aarel, filho de Harum.""
","""Coz foi pai de Anube e Zobeba e foi o antepassado dos grupos de famílias que descendem de Acarel, filho de Harum.""
","""Coz gerou Anube e Zobeba e foi pai das famílias de Aarel, filho de Harum.""
","""e Coz, que gerou Anube e Zobeba e os clãs de Aarel, filho de Harum.""
",19.66782398012986
661,"""Arão recolhido será a seu povo, porque não entrará na terra que tenho dado aos filhos de Israel, porquanto rebeldes fostes à minha palavra, nas águas de Meribá.""
","""Arão será o seu povo, porque não entrará na terra que fiz aos filhos de Israel, porque rebeldes foram à minha palavra, nas águas de Meribá.""
","""“Arão morrerá e será reunido aos seus antepassados. Ele não entrará na terra que prometi dar aos israelitas, porque vocês dois se rebelaram contra as minhas instruções no caso das águas de Meribá.""
","""— Arão não entrará na terra que eu prometi dar aos israelitas. Ele vai morrer porque, no caso da água de Meribá, vocês se revoltaram contra as minhas ordens.""
","""— Arão será reunido ao seu povo, porque não entrará na terra que dei aos filhos de Israel, pois vocês foram rebeldes à minha palavra, nas águas de Meribá.""
","""“Arão será reunido aos seus antepassados. Não entrará na terra que dou aos israelitas, porque vocês dois se rebelaram contra a minha ordem junto às águas de Meribá.""
",64.78383852936588
662,"""Depois, voltaram de espiar a terra, ao fim de quarenta dias.""
","""Então voltaram de espiar a terra, ao fim de quarenta dias.""
","""Ao fim de quarenta dias, voltaram de espionar a terra,""
","""Depois de espionarem a terra quarenta dias,""
","""Depois de quarenta dias, voltaram de espiar a terra.""
","""Ao fim de quarenta dias eles voltaram da missão de reconhecimento daquela terra.""
",50.3533788755586
